"filename", "language", "TypeScript", "Prisma", "MS SQL", "JavaScript", "comment", "blank", "total"
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/platform-type/implementations/platform-type-read.repository.ts", "TypeScript", -15, 0, 0, 0, 0, -4, -19
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/platform-type/implementations/platform-type-write.repository.ts", "TypeScript", -36, 0, 0, 0, 0, -7, -43
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/platform/abstracts/index.ts", "TypeScript", -2, 0, 0, 0, 0, -2, -4
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/platform/abstracts/iplatform-read.repository.ts", "TypeScript", -3, 0, 0, 0, 0, -3, -6
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/platform/abstracts/iplatform-write.repository.ts", "TypeScript", -5, 0, 0, 0, 0, -3, -8
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/platform/implementations/index.ts", "TypeScript", -2, 0, 0, 0, 0, -2, -4
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/platform/implementations/platform-read.repository.ts", "TypeScript", -15, 0, 0, 0, 0, -4, -19
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/repositories/platforms/platform/implementations/platform-write.repository.ts", "TypeScript", -36, 0, 0, 0, 0, -7, -43
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/services/games/game-map-service/game-map.service.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 21
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/services/games/game-read-service/game-read.service.ts", "TypeScript", 13, 0, 0, 0, 0, 1, 14
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/services/genres/genres/genres-read-service/genre-read.service.ts", "TypeScript", 4, 0, 0, 0, 0, 1, 5
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/services/keywords/keywords/keywords-map-service/keywords-map.service.ts", "TypeScript", 16, 0, 0, 0, 0, 2, 18
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/services/keywords/keywords/keywords-read-service/keyword-read.service.ts", "TypeScript", -12, 0, 0, 0, 0, -4, -16
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/services/keywords/keywords/keywords-read-service/keywords-read.service.ts", "TypeScript", 42, 0, 0, 0, 0, 10, 52
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/services/keywords/keywords/keywords-write-service/keyword-write.service.ts", "TypeScript", -40, 0, 0, 0, 0, -15, -55
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/services/keywords/keywords/keywords-write-service/keywords-write.service.ts", "TypeScript", 40, 0, 0, 0, 0, 15, 55
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/services/platforms/game-platforms/game-platforms-read-service/game-platforms-read.service.ts", "TypeScript", -12, 0, 0, 0, 0, -2, -14
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/services/platforms/game-platforms/game-platforms-write-service/game-platforms-write.service.ts", "TypeScript", -41, 0, 0, 0, 0, -15, -56
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/services/platforms/platform-type/platform-type-read-service/platform-type-read.service.ts", "TypeScript", -12, 0, 0, 0, 0, -4, -16
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/services/platforms/platform-type/platform-type-write-service/platform-type-write.service.ts", "TypeScript", -41, 0, 0, 0, 0, -15, -56
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/services/platforms/platform/platform-read-service/platform-read.service.ts", "TypeScript", -12, 0, 0, 0, 0, -4, -16
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/services/platforms/platform/platform-write-service/platform-write.service.ts", "TypeScript", -41, 0, 0, 0, 0, -15, -56
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/types/game/game-with-details.type.ts", "TypeScript", -27, 0, 0, 0, 0, -3, -30
"/home/denis/vscode_projects/project-game-atlas/packages/backend/src/app/modules/game/types/game/game.types.ts", "TypeScript", 33, 0, 0, 0, 0, 4, 37
