Date : 2025-11-30 13:09:03
Directory : /home/denis/vscode_projects/project-game-atlas/packages/frontend
Total : 189 files,  2251 codes, 0 comments, 283 blanks, all 2534 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         40 |      1,708 |          0 |        226 |      1,934 |
| TypeScript     |        147 |        536 |          0 |         57 |        593 |
| JSON           |          2 |          7 |          0 |          0 |          7 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| src/features/personal-library (Files)                                                                                                                                                                            |          1 |          1 |          0 |          0 |          1 |
| src/features/personal-library/get-personal-library-games                                                                                                                                                         |         23 |        299 |          0 |         47 |        346 |
| src/features/personal-library/get-personal-library-games (Files)                                                                                                                                                 |          1 |          2 |          0 |          0 |          2 |
| src/features/personal-library/get-personal-library-games/api                                                                                                                                                     |          2 |         20 |          0 |          2 |         22 |
| src/features/personal-library/get-personal-library-games/model                                                                                                                                                   |         13 |         91 |          0 |         18 |        109 |
| src/features/personal-library/get-personal-library-games/model (Files)                                                                                                                                           |          1 |          3 |          0 |          0 |          3 |
| src/features/personal-library/get-personal-library-games/model/const                                                                                                                                             |          2 |          3 |          0 |          1 |          4 |
| src/features/personal-library/get-personal-library-games/model/enums                                                                                                                                             |          2 |         10 |          0 |          0 |         10 |
| src/features/personal-library/get-personal-library-games/model/hooks                                                                                                                                             |          2 |         13 |          0 |          2 |         15 |
| src/features/personal-library/get-personal-library-games/model/interfaces                                                                                                                                        |          4 |         18 |          0 |          3 |         21 |
| src/features/personal-library/get-personal-library-games/model/schemas                                                                                                                                           |          2 |         44 |          0 |         12 |         56 |
| src/features/personal-library/get-personal-library-games/ui                                                                                                                                                      |          7 |        186 |          0 |         27 |        213 |
| src/features/personal-library/get-personal-library-games/ui (Files)                                                                                                                                              |          1 |          0 |          0 |          1 |          1 |
| src/features/personal-library/get-personal-library-games/ui/personal-library-game-list                                                                                                                           |          2 |        117 |          0 |         20 |        137 |
| src/features/personal-library/get-personal-library-games/ui/personal-library-game-list-empty                                                                                                                     |          2 |         19 |          0 |          1 |         20 |
| src/features/personal-library/get-personal-library-games/ui/personal-library-game-list-filters                                                                                                                   |          2 |         50 |          0 |          5 |         55 |
| src/features/profile-init                                                                                                                                                                                        |         17 |        290 |          0 |         44 |        334 |
| src/features/profile-init (Files)                                                                                                                                                                                |          1 |          2 |          0 |          0 |          2 |
| src/features/profile-init/model                                                                                                                                                                                  |          5 |         22 |          0 |          3 |         25 |
| src/features/profile-init/model (Files)                                                                                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| src/features/profile-init/model/interfaces                                                                                                                                                                       |          3 |         10 |          0 |          1 |         11 |
| src/features/profile-init/model/schemas                                                                                                                                                                          |          1 |         11 |          0 |          2 |         13 |
| src/features/profile-init/ui                                                                                                                                                                                     |         11 |        266 |          0 |         41 |        307 |
| src/features/profile-init/ui (Files)                                                                                                                                                                             |          1 |          1 |          0 |          0 |          1 |
| src/features/profile-init/ui/profile-init-filters                                                                                                                                                                |          2 |         24 |          0 |          2 |         26 |
| src/features/profile-init/ui/profile-init-game-item-empty                                                                                                                                                        |          2 |         17 |          0 |          1 |         18 |
| src/features/profile-init/ui/profile-init-item                                                                                                                                                                   |          2 |         37 |          0 |          3 |         40 |
| src/features/profile-init/ui/profile-init-list                                                                                                                                                                   |          2 |        144 |          0 |         29 |        173 |
| src/features/profile-init/ui/profile-init-popular-choices                                                                                                                                                        |          2 |         43 |          0 |          6 |         49 |
| src/pages                                                                                                                                                                                                        |         10 |         30 |          0 |          2 |         32 |
| src/pages/catalog                                                                                                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| src/pages/my-library                                                                                                                                                                                             |          3 |        -17 |          0 |         -2 |        -19 |
| src/pages/personal-library                                                                                                                                                                                       |          3 |         18 |          0 |          2 |         20 |
| src/pages/profile-init                                                                                                                                                                                           |          3 |         28 |          0 |          2 |         30 |
| src/shared                                                                                                                                                                                                       |         47 |        947 |          0 |        114 |      1,061 |
| src/shared/components                                                                                                                                                                                            |         39 |        943 |          0 |        112 |      1,055 |
| src/shared/components (Files)                                                                                                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| src/shared/components/custom-combobox                                                                                                                                                                            |          6 |         98 |          0 |         15 |        113 |
| src/shared/components/custom-combobox (Files)                                                                                                                                                                    |          2 |         85 |          0 |         13 |         98 |
| src/shared/components/custom-combobox/interfaces                                                                                                                                                                 |          2 |          8 |          0 |          1 |          9 |
| src/shared/components/custom-combobox/types                                                                                                                                                                      |          2 |          5 |          0 |          1 |          6 |
| src/shared/components/custom-items-select                                                                                                                                                                        |          4 |         58 |          0 |          7 |         65 |
| src/shared/components/custom-items-select (Files)                                                                                                                                                                |          2 |         48 |          0 |          6 |         54 |
| src/shared/components/custom-items-select/interfaces                                                                                                                                                             |          2 |         10 |          0 |          1 |         11 |
| src/shared/components/custom-pagination                                                                                                                                                                          |          6 |        100 |          0 |         18 |        118 |
| src/shared/components/custom-pagination (Files)                                                                                                                                                                  |          2 |         89 |          0 |         17 |        106 |
| src/shared/components/custom-pagination/hooks                                                                                                                                                                    |          2 |          5 |          0 |          1 |          6 |
| src/shared/components/custom-pagination/interfaces                                                                                                                                                               |          2 |          6 |          0 |          0 |          6 |
| src/shared/components/custom-popover                                                                                                                                                                             |          6 |         74 |          0 |          9 |         83 |
| src/shared/components/custom-popover (Files)                                                                                                                                                                     |          2 |         56 |          0 |          7 |         63 |
| src/shared/components/custom-popover/interfaces                                                                                                                                                                  |          2 |         13 |          0 |          1 |         14 |
| src/shared/components/custom-popover/types                                                                                                                                                                       |          2 |          5 |          0 |          1 |          6 |
| src/shared/components/ui                                                                                                                                                                                         |         16 |        612 |          0 |         63 |        675 |
| src/shared/components/ui (Files)                                                                                                                                                                                 |          1 |          3 |          0 |          0 |          3 |
| src/shared/components/ui/button                                                                                                                                                                                  |          1 |          2 |          0 |          0 |          2 |
| src/shared/components/ui/button/const                                                                                                                                                                            |          1 |          2 |          0 |          0 |          2 |
| src/shared/components/ui/command                                                                                                                                                                                 |          2 |        136 |          0 |         16 |        152 |
| src/shared/components/ui/dialog                                                                                                                                                                                  |          2 |        130 |          0 |         11 |        141 |
| src/shared/components/ui/drawer                                                                                                                                                                                  |          2 |        105 |          0 |         11 |        116 |
| src/shared/components/ui/empty                                                                                                                                                                                   |          2 |         96 |          0 |          9 |        105 |
| src/shared/components/ui/pagination                                                                                                                                                                              |          2 |        110 |          0 |         10 |        120 |
| src/shared/components/ui/popover                                                                                                                                                                                 |          4 |         30 |          0 |          6 |         36 |
| src/shared/components/ui/popover (Files)                                                                                                                                                                         |          2 |         28 |          0 |          6 |         34 |
| src/shared/components/ui/popover/const                                                                                                                                                                           |          2 |          2 |          0 |          0 |          2 |
| src/shared/layouts                                                                                                                                                                                               |          8 |          4 |          0 |          2 |          6 |
| src/shared/layouts/header-layout                                                                                                                                                                                 |          4 |        -27 |          0 |         -3 |        -30 |
| src/shared/layouts/header-layout (Files)                                                                                                                                                                         |          2 |        -21 |          0 |         -2 |        -23 |
| src/shared/layouts/header-layout/interfaces                                                                                                                                                                      |          2 |         -6 |          0 |         -1 |         -7 |
| src/shared/layouts/main-layout                                                                                                                                                                                   |          4 |         31 |          0 |          5 |         36 |
| src/shared/layouts/main-layout (Files)                                                                                                                                                                           |          2 |         25 |          0 |          4 |         29 |
| src/shared/layouts/main-layout/interfaces                                                                                                                                                                        |          2 |          6 |          0 |          1 |          7 |
| src/widgets                                                                                                                                                                                                      |          6 |         68 |          0 |          7 |         75 |
| src/widgets/footer                                                                                                                                                                                               |          2 |         24 |          0 |          1 |         25 |
| src/widgets/header                                                                                                                                                                                               |          4 |         44 |          0 |          6 |         50 |
| src/widgets/header (Files)                                                                                                                                                                                       |          1 |         11 |          0 |          3 |         14 |
| src/widgets/header/config                                                                                                                                                                                        |          1 |         22 |          0 |          0 |         22 |
| src/widgets/header/interfaces                                                                                                                                                                                    |          1 |          2 |          0 |          0 |          2 |
| src/widgets/header/ui                                                                                                                                                                                            |          1 |          9 |          0 |          3 |         12 |
| src/widgets/header/ui/mobile-header                                                                                                                                                                              |          1 |          9 |          0 |          3 |         12 |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                                         | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/package.json                                                                                                                                    | JSON           |          6 |          0 |          0 |          6 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/app/router/app.routes.tsx                                                                                                                   | TypeScript JSX |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/app/router/protected-route/protected-route.tsx                                                                                              | TypeScript JSX |         -3 |          0 |         -1 |         -4 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/game/api/get-game-details.api.ts                                                                                                   | TypeScript     |          7 |          0 |          2 |          9 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/game/api/index.ts                                                                                                                  | TypeScript     |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/game/model/hooks/get-game-details.hook.ts                                                                                          | TypeScript     |         11 |          0 |          1 |         12 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/game/model/hooks/index.ts                                                                                                          | TypeScript     |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/game/model/interfaces/game.interface.ts                                                                                            | TypeScript     |          7 |          0 |         -2 |          5 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/game/model/interfaces/games-filters.interface.ts                                                                                   | TypeScript     |          8 |          0 |          1 |          9 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/game/model/interfaces/paginte-game-item.interface.ts                                                                               | TypeScript     |          4 |          0 |          1 |          5 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/game/ui/games-filter/games-filter.component.tsx                                                                                    | TypeScript JSX |         31 |          0 |          5 |         36 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/game/ui/games-filter/index.ts                                                                                                      | TypeScript     |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/game/ui/index.ts                                                                                                                   | TypeScript     |          1 |          0 |          1 |          2 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/game/ui/paginte-game-item/index.ts                                                                                                 | TypeScript     |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/game/ui/paginte-game-item/paginate-game-item.component.tsx                                                                         | TypeScript JSX |         58 |          0 |          7 |         65 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/genre/api/get-genres.api.ts                                                                                                        | TypeScript     |          8 |          0 |          2 |         10 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/genre/api/index.ts                                                                                                                 | TypeScript     |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/genre/index.ts                                                                                                                     | TypeScript     |          2 |          0 |          0 |          2 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/genre/model/hooks/get-genres.hook.ts                                                                                               | TypeScript     |         10 |          0 |          1 |         11 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/genre/model/hooks/index.ts                                                                                                         | TypeScript     |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/genre/model/interfaces/genres-filters.interface.ts                                                                                 | TypeScript     |          6 |          0 |          1 |          7 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/genre/model/interfaces/index.ts                                                                                                    | TypeScript     |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/genre/ui/genre-badge/genre-badge.component.tsx                                                                                     | TypeScript JSX |         12 |          0 |          2 |         14 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/genre/ui/genre-badge/index.ts                                                                                                      | TypeScript     |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/genre/ui/genre-badge/interfaces/genre-badge.interface.ts                                                                           | TypeScript     |          3 |          0 |          0 |          3 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/genre/ui/genre-badge/interfaces/index.ts                                                                                           | TypeScript     |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/genre/ui/genres-filter/genres-filter.component.tsx                                                                                 | TypeScript JSX |         18 |          0 |          2 |         20 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/genre/ui/genres-filter/index.ts                                                                                                    | TypeScript     |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/genre/ui/index.ts                                                                                                                  | TypeScript     |          2 |          0 |          0 |          2 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/keyword/api/get-keywords.api.ts                                                                                                    | TypeScript     |         20 |          0 |          2 |         22 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/keyword/api/index.ts                                                                                                               | TypeScript     |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/keyword/index.ts                                                                                                                   | TypeScript     |          2 |          0 |          0 |          2 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/keyword/model/hooks/get-keywords.hook.ts                                                                                           | TypeScript     |         11 |          0 |          1 |         12 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/keyword/model/hooks/index.ts                                                                                                       | TypeScript     |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/keyword/model/index.ts                                                                                                             | TypeScript     |          1 |          0 |         -1 |          0 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/keyword/model/interfaces/get-keywords.interface.ts                                                                                 | TypeScript     |          2 |          0 |          1 |          3 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/keyword/model/interfaces/index.ts                                                                                                  | TypeScript     |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/keyword/model/interfaces/keywords-filters.interface.ts                                                                             | TypeScript     |          6 |          0 |          1 |          7 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/keyword/model/schemas/get-keywords.schema.ts                                                                                       | TypeScript     |         17 |          0 |          3 |         20 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/keyword/model/schemas/index.ts                                                                                                     | TypeScript     |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/keyword/ui/index.ts                                                                                                                | TypeScript     |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/keyword/ui/keywords-filter/index.ts                                                                                                | TypeScript     |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/keyword/ui/keywords-filter/keywords-filter.component.tsx                                                                           | TypeScript JSX |         18 |          0 |          2 |         20 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library-game/api/create-personal-library-game.api.ts                                                                      | TypeScript     |          7 |          0 |          2 |          9 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library-game/api/index.ts                                                                                                 | TypeScript     |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library-game/index.ts                                                                                                     | TypeScript     |          1 |          0 |          0 |          1 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library-game/model/enums/index.ts                                                                                         | TypeScript     |          2 |          0 |          0 |          2 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library-game/model/enums/personal-library-game-rank.enum.ts                                                               | TypeScript     |          9 |          0 |          0 |          9 |
| /home/denis/vscode_projects/project-game-atlas/packages/frontend/src/entities/personal-library-game/model/enums/personal-library-game-status.enum.ts                                                             | TypeScript     |          8 |          0 |          0 |          8 |
